variable,units,sensor_name,value,is_flagged,timestamp
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-03T20:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-04T10:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-04T15:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-05T07:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-05T13:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-05T13:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-06T17:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-07T07:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-07T08:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-07T08:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-07T09:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-07T11:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-07T12:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-08T07:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-08T09:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-08T10:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-08T12:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-08T13:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-08T16:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-09T06:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-09T11:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,2.0,False,2023-06-09T11:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,3.0,False,2023-06-09T12:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-09T15:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-09T15:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-11T06:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,2.0,False,2023-06-13T07:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-13T07:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,3.0,False,2023-06-13T07:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,2.0,False,2023-06-13T12:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,5.0,False,2023-06-13T12:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-13T12:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-13T13:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-13T16:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-13T16:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,2.0,False,2023-06-13T17:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-14T08:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-14T12:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-14T18:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-15T09:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-15T11:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,2.0,False,2023-06-15T12:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-15T17:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-16T07:45:00
